Gene_ID_or_Class,NT_Length,Diffs_SPPV_to_CaPV,Divergence_%_or_Rate
--- FUNCTIONAL BREAKDOWN MATRIX ---,,,
CLASS: Intergenic,5717,114,0.019941
CLASS: Synonymous,144845,849,0.005861
CLASS: Nonsynonymous,144845,744,0.005137
CLASS: Nonsynonymous (Stop Codon Creation),144845,16,0.000110
CLASS: Nonsynonymous (Stop Codon Loss),144845,3,0.000021
CLASS: Incomplete Codon Context (Gaps/No Info),144845,0,0.000000
-----------------------------------,,,
LD001,480,8,0.0167
LD002,396,16,0.0404
LD003,723,9,0.0124
LD004,174,3,0.0172
LD005,513,7,0.0136
LD006,696,6,0.0086
LD007,1068,6,0.0056
LD008,828,8,0.0097
LD009,693,14,0.0202
LD010,489,7,0.0143
LD011,1134,18,0.0159
LD012,636,5,0.0079
LD013,1026,29,0.0283
LD014,270,2,0.0074
LD015,486,8,0.0165
LD016,270,4,0.0148
LD017,531,8,0.0151
LD018,441,2,0.0045
LD019,1712,33,0.0193
LD020,966,8,0.0083
LD021,261,10,0.0383
LD022,345,9,0.0261
LD023,219,2,0.0091
LD024,651,9,0.0138
LD025,1344,5,0.0037
LD026,909,38,0.0418
LD027,1917,25,0.0130
LD028,1113,7,0.0063
LD029,438,3,0.0068
LD030,660,9,0.0136
LD031,315,5,0.0159
LD032,1425,9,0.0063
LD033,2208,18,0.0082
LD034,534,5,0.0094
LD035,1209,13,0.0108
LD036,606,8,0.0132
LD037,1701,5,0.0029
LD038,801,6,0.0075
LD039,3033,26,0.0086
LD040,288,2,0.0069
LD041,393,10,0.0254
LD042,2055,13,0.0063
LD043,945,9,0.0095
LD044,219,3,0.0137
LD045,831,8,0.0096
LD046,237,6,0.0253
LD047,1185,9,0.0076
LD048,1302,9,0.0069
LD049,2031,24,0.0118
LD050,1791,15,0.0084
LD051,669,5,0.0075
LD052,333,2,0.0060
LD053,381,2,0.0052
LD054,1314,10,0.0076
LD055,192,3,0.0156
LD056,525,3,0.0057
LD057,1122,9,0.0080
LD058,783,5,0.0064
LD059,1011,14,0.0138
LD060,738,7,0.0095
LD061,279,6,0.0215
LD062,957,7,0.0073
LD063,762,4,0.0052
LD064,396,1,0.0025
LD065,444,1,0.0023
LD066,534,4,0.0075
LD067,594,7,0.0118
LD068,1002,5,0.0050
LD069,558,6,0.0108
LD070,402,3,0.0075
LD071,3858,24,0.0062
LD072,516,4,0.0078
LD073,573,5,0.0087
LD074,969,6,0.0062
LD075,2397,16,0.0067
LD076,672,13,0.0193
LD077,954,6,0.0063
LD078,444,5,0.0113
LD079,2529,32,0.0127
LD080,468,5,0.0107
LD081,738,7,0.0095
LD082,657,9,0.0137
LD083,2361,14,0.0059
LD084,1908,14,0.0073
LD085,492,3,0.0061
LD086,642,9,0.0140
LD087,762,3,0.0039
LD088,1908,13,0.0068
LD089,864,11,0.0127
LD090,1650,15,0.0091
LD091,453,5,0.0110
LD092,699,3,0.0043
LD093,228,2,0.0088
LD094,1986,9,0.0045
LD095,486,3,0.0062
LD096,510,6,0.0118
LD097,1128,6,0.0053
LD098,2145,20,0.0093
LD099,873,6,0.0069
LD100,237,2,0.0084
LD101,2715,27,0.0099
LD102,954,13,0.0136
LD103,573,5,0.0087
LD104,204,3,0.0147
LD105,288,1,0.0035
LD106,162,2,0.0123
LD107,288,1,0.0035
LD108,1134,11,0.0097
LD109,591,9,0.0152
LD110,1443,13,0.0090
LD111,225,3,0.0133
LD112,1293,7,0.0054
LD113,348,1,0.0029
LD114,507,2,0.0039
LD115,1158,8,0.0069
LD116,3471,37,0.0107
LD117,447,11,0.0246
LD118,423,2,0.0047
LD119,912,7,0.0077
LD120,225,1,0.0044
LD121,765,4,0.0052
LD122,591,4,0.0068
LD123,516,8,0.0155
LD124,576,9,0.0156
LD125,867,7,0.0081
LD126,546,5,0.0092
LD127,822,9,0.0109
LD128,906,12,0.0132
LD129,372,11,0.0296
LD130,246,3,0.0122
LD131,486,8,0.0165
LD132,531,34,0.0640
LD133,1680,26,0.0155
LD134,6078,72,0.0118
LD135,1083,21,0.0194
LD136,462,19,0.0411
LD137,1008,4,0.0040
LD138,561,11,0.0196
LD139,918,11,0.0120
LD140,723,9,0.0124
LD141,675,5,0.0074
LD142,405,12,0.0296
LD143,909,8,0.0088
LD144,1668,12,0.0072
LD145,1905,26,0.0136
LD146,1242,16,0.0129
LD147,1497,16,0.0107
LD148,1344,19,0.0141
LD149,1014,13,0.0128
LD150,486,10,0.0206
LD151,1656,18,0.0109
LD152,1470,21,0.0143
LD153,276,17,0.0616
LD154,723,13,0.0180
LD155,396,26,0.0657
LD156,480,9,0.0187
