Gene_ID_or_Class,NT_Length,Diffs_SPPV_modern_to_CaPV,Divergence_%_or_Rate
--- FUNCTIONAL BREAKDOWN MATRIX ---,,,
CLASS: Intergenic,5717,155,0.027112
CLASS: Synonymous,144845,1227,0.008471
CLASS: Nonsynonymous,144845,1067,0.007366
CLASS: Nonsynonymous (Stop Codon Creation),144845,23,0.000159
CLASS: Nonsynonymous (Stop Codon Loss),144845,3,0.000021
CLASS: Incomplete Codon Context (Gaps/No Info),144845,0,0.000000
-----------------------------------,,,
LD001,480,10,0.0208
LD002,396,24,0.0606
LD003,723,13,0.0180
LD004,174,4,0.0230
LD005,513,11,0.0214
LD006,696,10,0.0144
LD007,1068,8,0.0075
LD008,828,13,0.0157
LD009,693,24,0.0346
LD010,489,9,0.0184
LD011,1134,26,0.0229
LD012,636,9,0.0142
LD013,1026,45,0.0439
LD014,270,4,0.0148
LD015,486,12,0.0247
LD016,270,6,0.0222
LD017,531,13,0.0245
LD018,441,4,0.0091
LD019,1712,42,0.0245
LD020,966,13,0.0135
LD021,261,13,0.0498
LD022,345,12,0.0348
LD023,219,2,0.0091
LD024,651,10,0.0154
LD025,1344,12,0.0089
LD026,909,53,0.0583
LD027,1917,30,0.0156
LD028,1113,11,0.0099
LD029,438,3,0.0068
LD030,660,13,0.0197
LD031,315,6,0.0190
LD032,1425,21,0.0147
LD033,2208,27,0.0122
LD034,534,7,0.0131
LD035,1209,18,0.0149
LD036,606,11,0.0182
LD037,1701,13,0.0076
LD038,801,8,0.0100
LD039,3033,38,0.0125
LD040,288,3,0.0104
LD041,393,12,0.0305
LD042,2055,21,0.0102
LD043,945,10,0.0106
LD044,219,3,0.0137
LD045,831,11,0.0132
LD046,237,6,0.0253
LD047,1185,12,0.0101
LD048,1302,12,0.0092
LD049,2031,36,0.0177
LD050,1791,19,0.0106
LD051,669,10,0.0149
LD052,333,3,0.0090
LD053,381,4,0.0105
LD054,1314,13,0.0099
LD055,192,3,0.0156
LD056,525,5,0.0095
LD057,1122,14,0.0125
LD058,783,7,0.0089
LD059,1011,20,0.0198
LD060,738,10,0.0136
LD061,279,8,0.0287
LD062,957,13,0.0136
LD063,762,10,0.0131
LD064,396,2,0.0051
LD065,444,3,0.0068
LD066,534,9,0.0169
LD067,594,11,0.0185
LD068,1002,7,0.0070
LD069,558,6,0.0108
LD070,402,4,0.0100
LD071,3858,36,0.0093
LD072,516,5,0.0097
LD073,573,6,0.0105
LD074,969,7,0.0072
LD075,2397,26,0.0108
LD076,672,18,0.0268
LD077,954,8,0.0084
LD078,444,6,0.0135
LD079,2529,36,0.0142
LD080,468,6,0.0128
LD081,738,9,0.0122
LD082,657,9,0.0137
LD083,2361,18,0.0076
LD084,1908,17,0.0089
LD085,492,6,0.0122
LD086,642,15,0.0234
LD087,762,5,0.0066
LD088,1908,18,0.0094
LD089,864,14,0.0162
LD090,1650,20,0.0121
LD091,453,7,0.0155
LD092,699,5,0.0072
LD093,228,2,0.0088
LD094,1986,16,0.0081
LD095,486,4,0.0082
LD096,510,7,0.0137
LD097,1128,12,0.0106
LD098,2145,30,0.0140
LD099,873,12,0.0137
LD100,237,3,0.0127
LD101,2715,38,0.0140
LD102,954,22,0.0231
LD103,573,11,0.0192
LD104,204,5,0.0245
LD105,288,4,0.0139
LD106,162,2,0.0123
LD107,288,2,0.0069
LD108,1134,17,0.0150
LD109,591,12,0.0203
LD110,1443,18,0.0125
LD111,225,3,0.0133
LD112,1293,9,0.0070
LD113,348,3,0.0086
LD114,507,3,0.0059
LD115,1158,12,0.0104
LD116,3471,51,0.0147
LD117,447,17,0.0380
LD118,423,3,0.0071
LD119,912,14,0.0154
LD120,225,1,0.0044
LD121,765,6,0.0078
LD122,591,7,0.0118
LD123,516,12,0.0233
LD124,576,15,0.0260
LD125,867,9,0.0104
LD126,546,7,0.0128
LD127,822,15,0.0182
LD128,906,17,0.0188
LD129,372,14,0.0376
LD130,246,6,0.0244
LD131,486,10,0.0206
LD132,531,42,0.0791
LD133,1680,43,0.0256
LD134,6078,105,0.0173
LD135,1083,30,0.0277
LD136,462,23,0.0498
LD137,1008,13,0.0129
LD138,561,13,0.0232
LD139,918,15,0.0163
LD140,723,12,0.0166
LD141,675,9,0.0133
LD142,405,15,0.0370
LD143,909,15,0.0165
LD144,1668,23,0.0138
LD145,1905,38,0.0199
LD146,1242,20,0.0161
LD147,1497,24,0.0160
LD148,1344,27,0.0201
LD149,1014,24,0.0237
LD150,486,14,0.0288
LD151,1656,28,0.0169
LD152,1470,36,0.0245
LD153,276,17,0.0616
LD154,723,13,0.0180
LD155,396,26,0.0657
LD156,480,6,0.0125
