Gene_ID_or_Class,NT_Length,Diffs_LSDV_to_CaPV,Divergence_%_or_Rate
--- FUNCTIONAL BREAKDOWN MATRIX ---,,,
CLASS: Intergenic,5717,29,0.005073
CLASS: Synonymous,144845,183,0.001263
CLASS: Nonsynonymous,144845,430,0.002969
CLASS: Nonsynonymous (Stop Codon Creation),144845,24,0.000166
CLASS: Nonsynonymous (Stop Codon Loss),144845,33,0.000228
CLASS: Incomplete Codon Context (Gaps/No Info),144845,0,0.000000
-----------------------------------,,,
LD001,480,4,0.0083
LD002,396,5,0.0126
LD003,723,4,0.0055
LD004,174,2,0.0115
LD005,513,1,0.0019
LD006,696,3,0.0043
LD007,1068,5,0.0047
LD008,828,1,0.0012
LD009,693,3,0.0043
LD010,489,3,0.0061
LD011,1134,1,0.0009
LD012,636,1,0.0016
LD013,1026,6,0.0058
LD014,270,1,0.0037
LD015,486,0,0.0000
LD016,270,1,0.0037
LD017,531,2,0.0038
LD018,441,2,0.0045
LD019,1712,5,0.0029
LD020,966,5,0.0052
LD021,261,0,0.0000
LD022,345,1,0.0029
LD023,219,0,0.0000
LD024,651,1,0.0015
LD025,1344,3,0.0022
LD026,909,3,0.0033
LD027,1917,7,0.0037
LD028,1113,1,0.0009
LD029,438,1,0.0023
LD030,660,2,0.0030
LD031,315,1,0.0032
LD032,1425,6,0.0042
LD033,2208,6,0.0027
LD034,534,1,0.0019
LD035,1209,5,0.0041
LD036,606,2,0.0033
LD037,1701,12,0.0071
LD038,801,2,0.0025
LD039,3033,13,0.0043
LD040,288,0,0.0000
LD041,393,2,0.0051
LD042,2055,4,0.0019
LD043,945,5,0.0053
LD044,219,0,0.0000
LD045,831,6,0.0072
LD046,237,0,0.0000
LD047,1185,6,0.0051
LD048,1302,5,0.0038
LD049,2031,9,0.0044
LD050,1791,9,0.0050
LD051,669,3,0.0045
LD052,333,4,0.0120
LD053,381,1,0.0026
LD054,1314,4,0.0030
LD055,192,0,0.0000
LD056,525,2,0.0038
LD057,1122,3,0.0027
LD058,783,5,0.0064
LD059,1011,4,0.0040
LD060,738,0,0.0000
LD061,279,0,0.0000
LD062,957,3,0.0031
LD063,762,4,0.0052
LD064,396,3,0.0076
LD065,444,2,0.0045
LD066,534,0,0.0000
LD067,594,1,0.0017
LD068,1002,6,0.0060
LD069,558,2,0.0036
LD070,402,2,0.0050
LD071,3858,14,0.0036
LD072,516,5,0.0097
LD073,573,2,0.0035
LD074,969,7,0.0072
LD075,2397,12,0.0050
LD076,672,1,0.0015
LD077,954,4,0.0042
LD078,444,3,0.0068
LD079,2529,12,0.0047
LD080,468,5,0.0107
LD081,738,2,0.0027
LD082,657,1,0.0015
LD083,2361,19,0.0080
LD084,1908,10,0.0052
LD085,492,6,0.0122
LD086,642,2,0.0031
LD087,762,2,0.0026
LD088,1908,7,0.0037
LD089,864,3,0.0035
LD090,1650,9,0.0055
LD091,453,3,0.0066
LD092,699,3,0.0043
LD093,228,1,0.0044
LD094,1986,4,0.0020
LD095,486,5,0.0103
LD096,510,1,0.0020
LD097,1128,4,0.0035
LD098,2145,9,0.0042
LD099,873,2,0.0023
LD100,237,2,0.0084
LD101,2715,6,0.0022
LD102,954,3,0.0031
LD103,573,1,0.0017
LD104,204,1,0.0049
LD105,288,0,0.0000
LD106,162,0,0.0000
LD107,288,2,0.0069
LD108,1134,10,0.0088
LD109,591,3,0.0051
LD110,1443,2,0.0014
LD111,225,1,0.0044
LD112,1293,7,0.0054
LD113,348,2,0.0057
LD114,507,4,0.0079
LD115,1158,3,0.0026
LD116,3471,6,0.0017
LD117,447,1,0.0022
LD118,423,0,0.0000
LD119,912,2,0.0022
LD120,225,0,0.0000
LD121,765,6,0.0078
LD122,591,2,0.0034
LD123,516,2,0.0039
LD124,576,3,0.0052
LD125,867,4,0.0046
LD126,546,3,0.0055
LD127,822,2,0.0024
LD128,906,5,0.0055
LD129,372,1,0.0027
LD130,246,1,0.0041
LD131,486,3,0.0062
LD132,531,2,0.0038
LD133,1680,5,0.0030
LD134,6078,27,0.0044
LD135,1083,0,0.0000
LD136,462,6,0.0130
LD137,1008,5,0.0050
LD138,561,1,0.0018
LD139,918,3,0.0033
LD140,723,2,0.0028
LD141,675,4,0.0059
LD142,405,2,0.0049
LD143,909,3,0.0033
LD144,1668,12,0.0072
LD145,1905,18,0.0094
LD146,1242,8,0.0064
LD147,1497,11,0.0073
LD148,1344,8,0.0060
LD149,1014,6,0.0059
LD150,486,4,0.0082
LD151,1656,9,0.0054
LD152,1470,9,0.0061
LD153,276,1,0.0036
LD154,723,0,0.0000
LD155,396,3,0.0076
LD156,480,1,0.0021
