gene_id,KX894508_label,CaPV,LSDV,GTPV,SPPV_ancient,SPPV_modern
LD001,LD001,ONKBACOP_00001,OFLNMJHG_00001,GLMFCEHM_00001,LDHBPGCO_00001,LCBDDICB_00001
LD002,LD002,,,,,
LD003,LD003,ONKBACOP_00002,OFLNMJHG_00002,GLMFCEHM_00002,LDHBPGCO_00002,LCBDDICB_00002
LD004,LD004,,,,,
LD005,LD005,ONKBACOP_00003,OFLNMJHG_00003,GLMFCEHM_00003,LDHBPGCO_00003,LCBDDICB_00003
LD006,LD006,ONKBACOP_00004,OFLNMJHG_00004,GLMFCEHM_00004,LDHBPGCO_00004,LCBDDICB_00004
LD006.1,,ONKBACOP_00005,,,LDHBPGCO_00005,
LD007,LD007,ONKBACOP_00006,OFLNMJHG_00005,GLMFCEHM_00005,LDHBPGCO_00006,LCBDDICB_00005
LD008,LD008,ONKBACOP_00007,OFLNMJHG_00006,GLMFCEHM_00006,LDHBPGCO_00007,LCBDDICB_00006
LD009,LD009,ONKBACOP_00008,OFLNMJHG_00007,GLMFCEHM_00007,LDHBPGCO_00008,LCBDDICB_00007
LD009.1,,,OFLNMJHG_00008,GLMFCEHM_00008,LDHBPGCO_00009,LCBDDICB_00008
LD010,LD010,ONKBACOP_00009,OFLNMJHG_00009,GLMFCEHM_00009,LDHBPGCO_00010,LCBDDICB_00009
LD011,LD011,ONKBACOP_00010,OFLNMJHG_00010,GLMFCEHM_00010,LDHBPGCO_00011,LCBDDICB_00010
LD012,LD012,ONKBACOP_00011,OFLNMJHG_00011,GLMFCEHM_00011,LDHBPGCO_00012,LCBDDICB_00011
LD013,LD013,,,,LDHBPGCO_00013,LCBDDICB_00012
LD014,LD014,ONKBACOP_00012,OFLNMJHG_00012,GLMFCEHM_00012,LDHBPGCO_00014,LCBDDICB_00013
LD015,LD015,ONKBACOP_00013,OFLNMJHG_00013,GLMFCEHM_00013,LDHBPGCO_00015,LCBDDICB_00014
LD016,LD016,ONKBACOP_00014,OFLNMJHG_00014,GLMFCEHM_00014,LDHBPGCO_00016,LCBDDICB_00015
LD017,LD017,ONKBACOP_00015,OFLNMJHG_00015,GLMFCEHM_00015,LDHBPGCO_00017,LCBDDICB_00016
LD018,LD018,ONKBACOP_00016,OFLNMJHG_00016,GLMFCEHM_00016,LDHBPGCO_00018,LCBDDICB_00017
LD019,LD019,ONKBACOP_00017,OFLNMJHG_00017,GLMFCEHM_00017,LDHBPGCO_00019,LCBDDICB_00018
LD019.1,,ONKBACOP_00018,OFLNMJHG_00018,GLMFCEHM_00018,LDHBPGCO_00020,LCBDDICB_00019
LD020,LD020,ONKBACOP_00019,OFLNMJHG_00019,GLMFCEHM_00019,LDHBPGCO_00021,LCBDDICB_00020
LD021,LD021,ONKBACOP_00020,OFLNMJHG_00020,GLMFCEHM_00020,LDHBPGCO_00022,LCBDDICB_00021
LD022,LD022,ONKBACOP_00021,OFLNMJHG_00021,GLMFCEHM_00021,LDHBPGCO_00023,LCBDDICB_00022
LD023,LD023,,,,,
LD024,LD024,ONKBACOP_00022,OFLNMJHG_00022,GLMFCEHM_00022,LDHBPGCO_00024,LCBDDICB_00023
LD025,LD025,ONKBACOP_00023,OFLNMJHG_00023,GLMFCEHM_00023,LDHBPGCO_00025,LCBDDICB_00024
LD026,LD026,ONKBACOP_00024,OFLNMJHG_00024,,,
LD027,LD027,ONKBACOP_00025,OFLNMJHG_00025,GLMFCEHM_00024,LDHBPGCO_00026,LCBDDICB_00025
LD028,LD028,ONKBACOP_00026,OFLNMJHG_00026,GLMFCEHM_00025,LDHBPGCO_00027,LCBDDICB_00026
LD028a,,ONKBACOP_00027,OFLNMJHG_00027,GLMFCEHM_00026,LDHBPGCO_00028,LCBDDICB_00027
LD029,LD029,ONKBACOP_00028,OFLNMJHG_00028,GLMFCEHM_00027,LDHBPGCO_00029,LCBDDICB_00028
LD030,LD030,ONKBACOP_00029,OFLNMJHG_00029,GLMFCEHM_00028,LDHBPGCO_00030,LCBDDICB_00029
LD031,LD031,ONKBACOP_00030,OFLNMJHG_00030,GLMFCEHM_00029,LDHBPGCO_00031,LCBDDICB_00030
LD032,LD032,ONKBACOP_00031,OFLNMJHG_00031,GLMFCEHM_00030,LDHBPGCO_00032,LCBDDICB_00031
LD033,LD033,ONKBACOP_00032,OFLNMJHG_00032,GLMFCEHM_00031,LDHBPGCO_00033,LCBDDICB_00032
LD034,LD034,ONKBACOP_00033,OFLNMJHG_00033,GLMFCEHM_00032,LDHBPGCO_00034,LCBDDICB_00033
LD035,LD036,ONKBACOP_00034,OFLNMJHG_00034,GLMFCEHM_00033,LDHBPGCO_00035,LCBDDICB_00034
LD036,LD035,ONKBACOP_00035,OFLNMJHG_00035,GLMFCEHM_00034,LDHBPGCO_00036,LCBDDICB_00035
LD037,LD037,ONKBACOP_00036,OFLNMJHG_00036,GLMFCEHM_00035,LDHBPGCO_00037,LCBDDICB_00036
LD038,LD038,ONKBACOP_00037,OFLNMJHG_00037,GLMFCEHM_00036,LDHBPGCO_00038,LCBDDICB_00037
LD039,LD039,ONKBACOP_00038,OFLNMJHG_00038,GLMFCEHM_00037,LDHBPGCO_00039,LCBDDICB_00038
LD040,LD040,ONKBACOP_00039,OFLNMJHG_00039,GLMFCEHM_00038,LDHBPGCO_00040,LCBDDICB_00039
LD041,LD041,ONKBACOP_00040,OFLNMJHG_00040,GLMFCEHM_00039,LDHBPGCO_00041,LCBDDICB_00040
LD042,LD042,ONKBACOP_00041,OFLNMJHG_00041,GLMFCEHM_00040,LDHBPGCO_00042,LCBDDICB_00041
LD042.1,,ONKBACOP_00042,OFLNMJHG_00042,GLMFCEHM_00041,LDHBPGCO_00043,LCBDDICB_00042
LD043,LD043,ONKBACOP_00043,OFLNMJHG_00043,GLMFCEHM_00042,LDHBPGCO_00044,LCBDDICB_00043
LD044,LD044,ONKBACOP_00044,OFLNMJHG_00044,GLMFCEHM_00043,LDHBPGCO_00045,LCBDDICB_00044
LD045,LD045,ONKBACOP_00045,OFLNMJHG_00045,GLMFCEHM_00044,LDHBPGCO_00046,LCBDDICB_00045
LD046,LD046,ONKBACOP_00046,OFLNMJHG_00046,GLMFCEHM_00045,LDHBPGCO_00047,LCBDDICB_00046
LD047,LD047,ONKBACOP_00047,OFLNMJHG_00047,GLMFCEHM_00046,LDHBPGCO_00048,LCBDDICB_00047
