Gene_ID_or_Class,NT_Length,Diffs_GTPV_to_CaPV,Divergence_%_or_Rate
--- FUNCTIONAL BREAKDOWN MATRIX ---,,,
CLASS: Intergenic,5717,123,0.021515
CLASS: Synonymous,144845,785,0.005420
CLASS: Nonsynonymous,144845,734,0.005067
CLASS: Nonsynonymous (Stop Codon Creation),144845,14,0.000097
CLASS: Nonsynonymous (Stop Codon Loss),144845,4,0.000028
CLASS: Incomplete Codon Context (Gaps/No Info),144845,0,0.000000
-----------------------------------,,,
LD001,480,3,0.0063
LD002,396,12,0.0303
LD003,723,5,0.0069
LD004,174,14,0.0805
LD005,513,16,0.0312
LD006,696,7,0.0101
LD007,1068,11,0.0103
LD008,828,8,0.0097
LD009,693,16,0.0231
LD010,489,9,0.0184
LD011,1134,22,0.0194
LD012,636,8,0.0126
LD013,1026,31,0.0302
LD014,270,3,0.0111
LD015,486,7,0.0144
LD016,270,4,0.0148
LD017,531,5,0.0094
LD018,441,1,0.0023
LD019,1712,27,0.0158
LD020,966,11,0.0114
LD021,261,16,0.0613
LD022,345,6,0.0174
LD023,219,1,0.0046
LD024,651,8,0.0123
LD025,1344,9,0.0067
LD026,909,34,0.0374
LD027,1917,21,0.0110
LD028,1113,11,0.0099
LD029,438,2,0.0046
LD030,660,6,0.0091
LD031,315,3,0.0095
LD032,1425,15,0.0105
LD033,2208,21,0.0095
LD034,534,5,0.0094
LD035,1209,13,0.0108
LD036,606,3,0.0050
LD037,1701,10,0.0059
LD038,801,4,0.0050
LD039,3033,30,0.0099
LD040,288,4,0.0139
LD041,393,5,0.0127
LD042,2055,21,0.0102
LD043,945,4,0.0042
LD044,219,1,0.0046
LD045,831,10,0.0120
LD046,237,6,0.0253
LD047,1185,4,0.0034
LD048,1302,6,0.0046
LD049,2031,15,0.0074
LD050,1791,12,0.0067
LD051,669,1,0.0015
LD052,333,5,0.0150
LD053,381,2,0.0052
LD054,1314,19,0.0145
LD055,192,4,0.0208
LD056,525,2,0.0038
LD057,1122,16,0.0143
LD058,783,2,0.0026
LD059,1011,14,0.0138
LD060,738,10,0.0136
LD061,279,4,0.0143
LD062,957,7,0.0073
LD063,762,7,0.0092
LD064,396,3,0.0076
LD065,444,5,0.0113
LD066,534,3,0.0056
LD067,594,3,0.0051
LD068,1002,5,0.0050
LD069,558,4,0.0072
LD070,402,3,0.0075
LD071,3858,28,0.0073
LD072,516,4,0.0078
LD073,573,8,0.0140
LD074,969,6,0.0062
LD075,2397,22,0.0092
LD076,672,14,0.0208
LD077,954,3,0.0031
LD078,444,1,0.0023
LD079,2529,17,0.0067
LD080,468,5,0.0107
LD081,738,6,0.0081
LD082,657,4,0.0061
LD083,2361,17,0.0072
LD084,1908,16,0.0084
LD085,492,5,0.0102
LD086,642,6,0.0093
LD087,762,6,0.0079
LD088,1908,15,0.0079
LD089,864,3,0.0035
LD090,1650,19,0.0115
LD091,453,9,0.0199
LD092,699,5,0.0072
LD093,228,1,0.0044
LD094,1986,16,0.0081
LD095,486,9,0.0185
LD096,510,4,0.0078
LD097,1128,8,0.0071
LD098,2145,13,0.0061
LD099,873,11,0.0126
LD100,237,4,0.0169
LD101,2715,25,0.0092
LD102,954,7,0.0073
LD103,573,3,0.0052
LD104,204,1,0.0049
LD105,288,1,0.0035
LD106,162,0,0.0000
LD107,288,5,0.0174
LD108,1134,9,0.0079
LD109,591,6,0.0102
LD110,1443,12,0.0083
LD111,225,0,0.0000
LD112,1293,11,0.0085
LD113,348,1,0.0029
LD114,507,3,0.0059
LD115,1158,11,0.0095
LD116,3471,26,0.0075
LD117,447,6,0.0134
LD118,423,3,0.0071
LD119,912,9,0.0099
LD120,225,1,0.0044
LD121,765,7,0.0092
LD122,591,5,0.0085
LD123,516,9,0.0174
LD124,576,8,0.0139
LD125,867,9,0.0104
LD126,546,6,0.0110
LD127,822,9,0.0109
LD128,906,6,0.0066
LD129,372,7,0.0188
LD130,246,2,0.0081
LD131,486,7,0.0144
LD132,531,20,0.0377
LD133,1680,11,0.0065
LD134,6078,67,0.0110
LD135,1083,29,0.0268
LD136,462,4,0.0087
LD137,1008,10,0.0099
LD138,561,9,0.0160
LD139,918,12,0.0131
LD140,723,10,0.0138
LD141,675,4,0.0059
LD142,405,10,0.0247
LD143,909,8,0.0088
LD144,1668,16,0.0096
LD145,1905,21,0.0110
LD146,1242,18,0.0145
LD147,1497,21,0.0140
LD148,1344,14,0.0104
LD149,1014,11,0.0108
LD150,486,4,0.0082
LD151,1656,22,0.0133
LD152,1470,21,0.0143
LD153,276,10,0.0362
LD154,723,5,0.0069
LD155,396,14,0.0354
LD156,480,3,0.0063
