gene_id,LSDV,CAPV,GTPV,ancient,pre_modern
LD001,1,1,1,1,1,1
LD002,1,0,0,0,0,0
LD003,1,1,1,1,1,1
LD004,1,0,0,0,0,0
LD005,1,1,1,1,1,1
LD006,1,1,1,1,1,1
LD006.1,0,1,0,0,1,0
LD007,1,1,1,1,1,1
LD008,1,1,1,1,1,1
LD009,1,1,1,1,1,1
LD009.1,0,0,1,1,1,1
LD010,1,1,1,1,1,1
LD011,1,1,1,1,1,1
LD012,1,1,1,1,1,1
LD013,1,0,0,0,1,1
LD014,1,1,1,1,1,1
LD015,1,1,1,1,1,1
LD016,1,1,1,1,1,1
LD017,1,1,1,1,1,1
LD018,1,1,1,1,1,1
LD019,1,1,1,1,1,1
LD019.1,0,1,1,1,1,1
LD020,1,1,1,1,1,1
LD021,1,1,1,1,1,1
LD022,1,1,1,1,1,1
LD023,1,0,0,0,0,0
LD024,1,1,1,1,1,1
LD025,1,1,1,1,1,1
LD026,1,1,1,0,0,0
LD027,1,1,1,1,1,1
LD028,1,1,1,1,1,1
LD028a,0,1,1,1,1,1
LD029,1,1,1,1,1,1
LD030,1,1,1,1,1,1
LD031,1,1,1,1,1,1
LD032,1,1,1,1,1,1
LD033,1,1,1,1,1,1
LD034,1,1,1,1,1,1
LD035,1,1,1,1,1,1
LD036,1,1,1,1,1,1
LD037,1,1,1,1,1,1
LD038,1,1,1,1,1,1
LD039,1,1,1,1,1,1
LD040,1,1,1,1,1,1
LD041,1,1,1,1,1,1
LD042,1,1,1,1,1,1
LD042.1,0,1,1,1,1,1
LD043,1,1,1,1,1,1
LD044,1,1,1,1,1,1
LD045,1,1,1,1,1,1
LD046,1,1,1,1,1,1
LD047,1,1,1,1,1,1
LD048,1,1,1,1,1,1
LD049,1,1,1,1,1,1
LD050,1,1,1,1,1,1
LD051,1,1,1,1,1,1
LD052,1,1,1,1,1,1
LD053,1,1,1,1,1,1
LD054,1,1,1,1,1,1
LD055,1,1,1,1,1,1
LD056,1,1,1,1,1,1
LD057,1,1,1,1,1,1
LD058,1,1,1,1,1,1
LD059,1,1,1,1,1,1
LD060,1,1,1,1,1,1
LD061,1,1,1,1,1,1
LD062,1,1,1,1,1,1
LD063,1,1,1,1,1,1
LD064,1,1,1,1,1,1
LD065,1,1,1,1,1,1
LD066,1,1,1,1,1,1
LD067,1,1,1,1,1,1
LD068,1,1,1,1,1,1
LD069,1,0,0,0,0,0
LD070,1,1,1,1,1,1
LD071,1,1,1,1,1,1
LD072,1,1,1,1,1,1
LD073,1,1,1,1,1,1
LD074,1,1,1,1,1,1
LD075,1,1,1,1,1,1
