Gene_ID,Aln_Len,Conserved_Sites,Conservation_Density
LD001,495,0,0.0000
LD002,416,0,0.0000
LD003,723,0,0.0000
LD004,181,34,0.1878
LD005,513,466,0.9084
LD006,699,656,0.9385
LD007,1068,1023,0.9579
LD008,828,781,0.9432
LD009,731,426,0.5828
LD010,489,453,0.9264
LD011,1150,1031,0.8965
LD012,637,599,0.9403
LD013,1079,744,0.6895
LD014,270,254,0.9407
LD015,475,439,0.9242
LD016,270,253,0.9370
LD017,521,487,0.9347
LD018,441,424,0.9615
LD019,1715,1585,0.9242
LD020,966,922,0.9545
LD021,268,216,0.8060
LD022,351,276,0.7863
LD023,220,209,0.9500
LD024,651,618,0.9493
LD025,1321,1279,0.9682
LD026,994,424,0.4266
LD027,1923,1828,0.9506
LD028,1113,1060,0.9524
LD029,438,430,0.9817
LD030,662,626,0.9456
LD031,315,301,0.9556
LD032,1425,1358,0.9530
LD033,2204,2115,0.9596
LD034,534,505,0.9457
LD036,607,559,0.9209
LD035,1220,1150,0.9426
LD037,1701,1647,0.9683
LD038,1027,778,0.7575
LD039,3029,2892,0.9548
LD040,288,277,0.9618
LD041,389,361,0.9280
LD042,2051,1937,0.9444
LD043,945,914,0.9672
LD044,219,207,0.9452
LD045,832,782,0.9399
LD046,237,221,0.9325
LD047,1185,1149,0.9696
LD048,1294,1253,0.9683
LD049,2031,1940,0.9552
LD050,1787,1713,0.9586
LD052,329,315,0.9574
LD051,662,640,0.9668
LD053,344,332,0.9651
LD054,1326,1266,0.9548
LD055,192,184,0.9583
LD056,525,503,0.9581
LD057,1122,1067,0.9510
LD058,783,757,0.9668
LD059,1014,951,0.9379
LD060,738,707,0.9580
LD061,280,260,0.9286
LD062,957,915,0.9561
LD063,762,733,0.9619
LD064,396,384,0.9697
LD065,400,390,0.9750
LD066,534,506,0.9476
LD067,606,558,0.9208
LD068,1002,981,0.9790
LD069,472,460,0.9746
LD070,403,385,0.9553
LD071,3858,3717,0.9635
LD072,516,507,0.9826
LD073,573,547,0.9546
LD074,970,936,0.9649
LD075,2397,2306,0.9620
LD076,733,601,0.8199
LD077,956,933,0.9759
LD078,444,434,0.9775
LD079,2869,2369,0.8257
LD080,432,413,0.9560
LD081,738,708,0.9593
LD082,653,626,0.9587
LD083,2361,2287,0.9687
LD084,1904,1841,0.9669
LD085,492,477,0.9695
LD086,642,604,0.9408
LD087,764,732,0.9581
LD088,1908,1828,0.9581
LD089,864,827,0.9572
LD090,1650,1585,0.9606
LD091,453,423,0.9338
LD092,699,679,0.9714
LD093,224,216,0.9643
LD094,1989,1905,0.9578
LD095,486,458,0.9424
LD096,517,469,0.9072
LD097,1124,1090,0.9698
LD098,2145,2065,0.9627
LD099,874,840,0.9611
LD100,237,227,0.9578
LD101,2715,2593,0.9551
LD102,954,913,0.9570
LD103,569,533,0.9367
LD104,204,193,0.9461
LD105,288,275,0.9549
LD106,162,159,0.9815
LD107,277,264,0.9531
LD108,1117,1073,0.9606
LD109,594,551,0.9276
LD110,1443,1373,0.9515
LD111,205,193,0.9415
LD113,348,336,0.9655
LD112,1291,1240,0.9605
LD114,478,462,0.9665
LD115,1158,1109,0.9577
LD116,3471,3327,0.9585
LD117,576,413,0.7170
LD118,423,408,0.9645
LD119,912,881,0.9660
LD120,193,189,0.9793
LD121,766,739,0.9648
LD122,598,553,0.9247
LD123,516,483,0.9360
LD124,576,540,0.9375
LD125,867,841,0.9700
LD126,732,485,0.6626
LD127,822,783,0.9526
LD128,908,851,0.9372
LD129,372,271,0.7285
LD130,251,226,0.9004
LD131,486,456,0.9383
LD132,578,354,0.6125
LD133,1683,1568,0.9317
LD134,6223,5682,0.9131
LD135,1086,991,0.9125
LD136,774,331,0.4276
LD137,1019,956,0.9382
LD138,565,500,0.8850
LD139,918,878,0.9564
LD140,724,667,0.9213
LD141,804,618,0.7687
LD142,408,368,0.9020
LD143,909,870,0.9571
LD144,1672,1345,0.8044
LD145,1906,1797,0.9428
LD146,1245,1160,0.9317
LD147,1497,1423,0.9506
LD148,1346,1258,0.9346
LD149,1014,947,0.9339
LD150,486,457,0.9403
LD151,1659,1551,0.9349
LD152,1493,1359,0.9102
LD153,290,26,0.0897
LD154,723,0,0.0000
LD155,406,0,0.0000
LD156,534,0,0.0000
Intergenic,7896,4219,0.5343
